Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,mean_time,Attrition
29,Travel_Frequently,Research & Development,16.0,4,Medical,25,Male,1,Laboratory Technician,Single,65130.0,1,11,1,10,2,10,0,9,2.0,4.0,2.0,3,3,7.112554112554113,No
55,Travel_Rarely,Research & Development,1.0,4,Other,26,Female,1,Research Scientist,Married,67990.0,3,11,0,12,2,10,0,8,2.0,4.0,3.0,3,3,9.356846473029046,No
26,Travel_Frequently,Research & Development,9.0,3,Life Sciences,27,Female,1,Manager,Married,162910.0,1,22,0,5,3,5,3,3,1.0,1.0,3.0,3,4,10.98326359832636,No
37,Travel_Rarely,Sales,5.0,1,Marketing,28,Male,1,Research Scientist,Single,27050.0,1,11,0,17,2,17,5,7,4.0,4.0,3.0,3,3,7.559322033898305,No
44,Travel_Frequently,Research & Development,1.0,2,Medical,29,Male,2,Research Scientist,Divorced,103330.0,3,14,1,19,2,1,0,0,4.0,3.0,1.0,2,3,10.991769547325102,Yes
38,Travel_Rarely,Sales,2.0,3,Marketing,30,Female,1,Manager,Divorced,44480.0,9,12,0,10,3,2,1,2,4.0,4.0,3.0,2,3,6.826086956521739,No
26,Travel_Rarely,Research & Development,4.0,3,Medical,31,Male,3,Research Scientist,Divorced,68540.0,2,11,0,5,5,3,0,2,1.0,2.0,3.0,2,3,10.109243697478991,Yes
28,Travel_Rarely,Research & Development,7.0,3,Other,32,Male,1,Human Resources,Single,96370.0,1,13,0,5,6,5,0,2,4.0,4.0,3.0,2,3,6.68595041322314,No
49,Travel_Frequently,Research & Development,1.0,1,Medical,33,Female,2,Research Scientist,Single,35910.0,9,13,0,22,2,3,1,2,3.0,1.0,3.0,3,3,10.495726495726496,No
36,Travel_Rarely,Sales,5.0,3,Technical Degree,34,Male,3,Sales Executive,Single,54050.0,4,14,0,10,2,8,7,7,3.0,2.0,3.0,3,3,6.189300411522634,No
31,Travel_Frequently,Research & Development,9.0,4,Medical,35,Male,1,Sales Executive,Divorced,46840.0,1,16,1,2,4,2,2,2,4.0,2.0,2.0,3,3,6.591666666666667,No
26,Travel_Rarely,Research & Development,8.0,3,Medical,36,Male,2,Manager,Single,157870.0,1,12,2,8,5,8,7,4,4.0,4.0,3.0,3,3,10.33189655172414,Yes
37,Travel_Frequently,Sales,9.0,1,Marketing,37,Male,1,Laboratory Technician,Married,15140.0,1,14,0,4,3,4,1,2,2.0,4.0,2.0,3,3,9.958677685950413,No
42,Travel_Frequently,Sales,2.0,2,Marketing,38,Male,3,Research Director,Married,29560.0,5,13,0,23,2,20,4,8,3.0,2.0,4.0,3,3,6.021739130434782,No
18,Travel_Rarely,Research & Development,1.0,4,Life Sciences,39,Male,1,Sales Executive,Single,23350.0,1,14,2,0,3,0,0,0,3.0,3.0,3.0,2,3,6.762114537444934,Yes
35,Travel_Rarely,Sales,20.0,2,Life Sciences,40,Male,1,Laboratory Technician,Married,51540.0,0,19,0,12,2,11,6,9,3.0,2.0,2.0,2,3,7.702928870292887,No
36,Travel_Frequently,Research & Development,8.0,3,Other,41,Female,3,Sales Executive,Married,69620.0,4,12,2,4,2,1,0,0,3.0,4.0,3.0,2,3,7.19672131147541,No
51,Travel_Rarely,Research & Development,2.0,3,Life Sciences,42,Male,2,Laboratory Technician,Divorced,56750.0,5,13,0,13,2,4,1,2,4.0,2.0,3.0,2,3,7.553191489361702,No
41,Travel_Rarely,Research & Development,29.0,1,Life Sciences,43,Male,1,Laboratory Technician,Single,23790.0,1,12,0,22,6,22,0,4,4.0,2.0,3.0,3,3,6.913223140495868,No
18,Travel_Rarely,Sales,7.0,3,Life Sciences,44,Male,1,Research Scientist,Single,38120.0,1,15,0,0,3,0,0,0,4.0,3.0,3.0,3,3,7.020833333333333,No
28,Travel_Rarely,Research & Development,9.0,3,Medical,45,Male,1,Sales Representative,Single,46480.0,0,23,2,9,2,8,0,7,2.0,1.0,3.0,2,4,7.245901639344262,No
31,Travel_Rarely,Research & Development,8.0,1,Technical Degree,46,Male,1,Manufacturing Director,Married,29360.0,4,12,1,10,2,8,7,7,2.0,4.0,2.0,3,3,7.175,No
39,Travel_Rarely,Sales,5.0,4,Marketing,47,Female,2,Human Resources,Divorced,21050.0,0,20,0,19,3,18,3,7,3.0,4.0,2.0,3,4,7.617021276595745,No
36,Non-Travel,Research & Development,5.0,4,Life Sciences,48,Male,1,Sales Executive,Married,85780.0,7,21,0,11,4,9,0,8,2.0,2.0,3.0,3,4,7.8354430379746836,No
32,Travel_Rarely,Sales,2.0,3,Marketing,49,Male,2,Laboratory Technician,Married,27060.0,1,21,1,13,4,13,4,8,4.0,3.0,2.0,3,4,6.947136563876652,No
38,Travel_Rarely,Research & Development,5.0,2,Life Sciences,50,Female,3,Research Scientist,Married,63840.0,3,19,2,19,4,10,0,1,1.0,2.0,3.0,2,3,6.868421052631579,No
58,Non-Travel,Research & Development,2.0,3,Life Sciences,51,Male,2,Manufacturing Director,Divorced,39680.0,2,13,2,12,3,5,1,2,4.0,3.0,3.0,2,3,10.909090909090908,No
31,Travel_Rarely,Research & Development,20.0,1,Technical Degree,52,Female,3,Research Scientist,Married,99070.0,0,13,1,6,3,5,0,3,3.0,4.0,3.0,2,3,9.19409282700422,No
31,Travel_Rarely,Sales,7.0,4,Marketing,53,Male,2,Sales Executive,Married,132250.0,3,21,1,9,2,2,1,0,1.0,1.0,3.0,3,4,6.807531380753138,No
45,Travel_Frequently,Research & Development,3.0,1,Medical,54,Female,1,Sales Executive,Divorced,35400.0,1,13,0,24,6,24,9,11,1.0,1.0,3.0,3,3,7.313559322033898,No
31,Travel_Rarely,Sales,16.0,4,Marketing,55,Female,2,Research Scientist,Divorced,28040.0,0,19,2,3,0,2,2,2,3.0,4.0,1.0,3,3,8.618852459016393,No
33,Travel_Frequently,Research & Development,9.0,3,Life Sciences,56,Male,4,Research Director,Married,193920.0,6,12,1,12,3,10,8,8,4.0,2.0,3.0,3,3,6.780590717299578,No
39,Travel_Rarely,Sales,1.0,4,Life Sciences,57,Male,1,Sales Executive,Married,196650.0,1,22,1,21,6,21,11,10,3.0,1.0,3.0,3,4,11.020408163265309,No
43,Travel_Frequently,Research & Development,7.0,4,Medical,58,Male,4,Research Scientist,Single,24390.0,0,15,0,9,2,8,1,7,3.0,4.0,3.0,3,3,7.674008810572687,No
49,Travel_Rarely,Research & Development,1.0,3,Life Sciences,59,Male,3,Manufacturing Director,Single,73140.0,7,22,0,25,2,7,0,7,3.0,3.0,3.0,3,4,9.94238683127572,No
52,Travel_Rarely,Research & Development,7.0,1,Life Sciences,60,Female,2,Research Scientist,Married,47740.0,2,18,1,11,2,8,7,7,3.0,2.0,2.0,3,3,7.924686192468619,Yes
27,Travel_Rarely,Research & Development,15.0,4,Medical,61,Male,3,Research Scientist,Single,39020.0,1,22,0,4,2,4,1,2,3.0,2.0,2.0,3,4,10.64344262295082,No
32,Travel_Rarely,Research & Development,1.0,3,Life Sciences,62,Male,3,Research Scientist,Married,26620.0,1,11,1,13,6,13,11,9,3.0,2.0,3.0,4,3,10.506276150627617,No
27,Travel_Rarely,Research & Development,13.0,2,Medical,63,Female,4,Research Director,Single,28560.0,1,12,2,5,5,5,0,4,4.0,3.0,3.0,4,3,10.06060606060606,No
31,Travel_Rarely,Sales,24.0,3,Life Sciences,64,Male,2,Healthcare Representative,Divorced,10810.0,4,11,3,13,4,7,1,7,4.0,4.0,3.0,4,3,6.604938271604938,No
32,Travel_Rarely,Research & Development,7.0,3,Technical Degree,65,Male,2,Healthcare Representative,Single,24720.0,7,13,0,10,2,7,0,7,1.0,4.0,2.0,3,3,7.514767932489452,No
28,Travel_Rarely,Research & Development,9.0,4,Medical,66,Male,1,Sales Executive,Married,56730.0,5,14,1,5,4,3,2,2,1.0,4.0,2.0,2,3,10.704453441295549,Yes
30,Travel_Rarely,Research & Development,13.0,3,Life Sciences,67,Female,4,Research Director,Married,41970.0,1,13,0,11,3,10,1,9,4.0,4.0,3.0,3,3,6.163793103448276,No
31,Travel_Frequently,Research & Development,2.0,1,Life Sciences,68,Female,1,Manager,Married,97130.0,1,17,0,10,5,10,8,9,3.0,3.0,3.0,2,3,6.572687224669603,No
39,Travel_Frequently,Research & Development,19.0,4,Medical,69,Female,1,Research Scientist,Married,20620.0,1,13,0,21,4,21,13,3,3.0,4.0,3.0,3,3,6.105263157894737,No
39,Travel_Rarely,Research & Development,1.0,1,Medical,70,Female,1,Laboratory Technician,Married,42840.0,4,17,1,12,0,1,0,0,4.0,3.0,2.0,3,3,9.979674796747968,Yes
33,Travel_Frequently,Sales,4.0,2,Life Sciences,71,Male,4,Research Scientist,Single,47880.0,3,11,1,9,0,7,0,1,2.0,4.0,2.0,3,3,7.413223140495868,No
47,Travel_Rarely,Research & Development,4.0,3,Life Sciences,72,Female,2,Healthcare Representative,Married,59060.0,4,23,0,21,4,3,1,1,4.0,3.0,3.0,4,4,6.481481481481482,No
43,Travel_Frequently,Research & Development,14.0,3,Medical,73,Female,5,Research Director,Divorced,38860.0,1,17,2,9,2,9,0,0,3.0,3.0,4.0,3,3,6.314893617021276,No
27,Non-Travel,Research & Development,2.0,3,Life Sciences,74,Male,1,Research Director,Married,168230.0,0,17,0,6,3,5,1,4,3.0,2.0,3.0,3,3,9.294372294372296,No
54,Travel_Frequently,Research & Development,1.0,4,Life Sciences,75,Male,2,Research Scientist,Single,29330.0,3,12,2,20,2,4,0,3,4.0,3.0,2.0,3,3,6.047413793103448,No
43,Travel_Rarely,Research & Development,7.0,2,Life Sciences,76,Female,2,Manager,Married,65000.0,8,23,0,10,3,1,0,0,3.0,1.0,2.0,3,4,7.205882352941177,No
45,Travel_Rarely,Sales,3.0,1,Marketing,77,Female,1,Sales Executive,Married,171740.0,9,14,1,12,6,10,9,8,4.0,4.0,3.0,3,3,7.115702479338843,No
40,Travel_Rarely,Research & Development,2.0,4,Other,78,Male,4,Research Scientist,Married,50330.0,2,14,2,6,6,4,0,2,2.0,4.0,2.0,3,3,9.86147186147186,No
29,Travel_Rarely,Research & Development,29.0,3,Medical,79,Female,1,Research Scientist,Married,23070.0,1,13,1,7,0,7,0,7,2.0,1.0,2.0,3,3,10.478260869565217,Yes
29,Travel_Rarely,Human Resources,8.0,3,Medical,80,Male,3,Sales Representative,Single,25870.0,0,22,2,4,3,3,2,2,2.0,4.0,3.0,3,4,6.836820083682008,No
30,Travel_Rarely,Research & Development,10.0,3,Life Sciences,81,Male,2,Research Scientist,Divorced,55070.0,1,12,2,10,2,10,1,2,4.0,3.0,3.0,2,3,7.616379310344827,No
27,Travel_Rarely,Research & Development,11.0,2,Medical,82,Male,1,Manager,Married,43930.0,1,18,1,8,2,8,0,7,2.0,2.0,3.0,2,3,6.077868852459017,No
37,Travel_Rarely,Sales,1.0,4,Life Sciences,83,Male,2,Healthcare Representative,Divorced,133480.0,7,14,0,8,4,6,0,4,4.0,4.0,2.0,3,3,6.050847457627119,No
38,Travel_Rarely,Research & Development,28.0,4,Medical,84,Male,1,Laboratory Technician,Divorced,65830.0,0,12,0,12,1,11,2,9,3.0,4.0,3.0,3,3,8.950413223140496,No
31,Travel_Rarely,Research & Development,6.0,3,Medical,85,Female,3,Manager,Single,81030.0,1,15,1,11,5,11,4,10,3.0,4.0,3.0,3,3,10.378151260504202,No
29,Travel_Rarely,Research & Development,3.0,4,Life Sciences,86,Male,3,Sales Executive,Divorced,39780.0,1,11,0,7,0,7,1,7,4.0,2.0,3.0,3,3,8.430327868852459,No
35,Travel_Rarely,Sales,16.0,2,Technical Degree,87,Male,3,Manager,Single,25440.0,0,13,1,17,3,16,0,13,3.0,2.0,3.0,4,3,7.92274678111588,No
23,Travel_Rarely,Research & Development,20.0,4,Life Sciences,88,Male,1,Manufacturing Director,Divorced,53990.0,1,23,0,4,2,4,0,2,3.0,4.0,2.0,2,4,7.109704641350211,No
41,Travel_Rarely,Research & Development,9.0,2,Life Sciences,89,Female,1,Laboratory Technician,Single,54870.0,6,19,2,8,0,5,1,2,4.0,2.0,3.0,3,3,9.648535564853557,No
47,Travel_Frequently,Sales,1.0,3,Medical,90,Female,2,Laboratory Technician,Single,68340.0,3,16,1,5,2,0,0,0,2.0,3.0,3.0,4,3,7.803347280334728,No
42,Travel_Rarely,Research & Development,3.0,4,Life Sciences,91,Male,1,Manager,Single,10910.0,2,22,0,16,0,1,0,0,1.0,4.0,3.0,1,4,6.286919831223629,No
29,Non-Travel,Sales,22.0,4,Marketing,92,Male,2,Human Resources,Married,57360.0,1,22,0,4,1,4,0,2,4.0,3.0,2.0,2,4,6.257510729613734,No
42,Travel_Rarely,Sales,7.0,4,Medical,93,Male,3,Research Scientist,Divorced,22260.0,0,12,1,4,3,3,1,0,3.0,3.0,3.0,2,3,8.807017543859649,No
32,Travel_Rarely,Research & Development,2.0,3,Medical,94,Male,2,Research Scientist,Married,57470.0,1,13,0,8,0,8,0,7,3.0,2.0,3.0,3,3,7.740259740259741,No
48,Travel_Rarely,Sales,13.0,4,Medical,95,Male,4,Sales Executive,Married,98540.0,3,16,1,15,2,0,0,0,1.0,3.0,1.0,2,3,7.296137339055794,No
37,Travel_Rarely,Research & Development,8.0,5,Technical Degree,96,Male,2,Manufacturing Director,Divorced,54670.0,4,12,0,13,2,7,6,7,3.0,1.0,3.0,3,3,10.809716599190285,No
30,Non-Travel,Sales,25.0,4,Other,97,Male,1,Healthcare Representative,Married,53800.0,7,21,1,4,0,2,2,2,4.0,3.0,4.0,3,4,10.444897959183674,No
26,Travel_Rarely,Sales,28.0,3,Medical,98,Female,5,Laboratory Technician,Married,51510.0,1,15,3,8,3,8,7,7,3.0,3.0,3.0,3,3,6.037037037037037,No
42,Travel_Rarely,Sales,2.0,2,Medical,99,Female,1,Laboratory Technician,Single,21330.0,3,13,2,14,2,1,0,0,1.0,4.0,3.0,3,3,6.142259414225942,No
21,Travel_Frequently,Research & Development,9.0,3,Medical,100,Female,4,Manufacturing Director,Single,178750.0,1,12,0,3,5,3,1,2,1.0,2.0,3.0,2,3,8.155737704918034,Yes
36,Non-Travel,Human Resources,28.0,3,Human Resources,101,Male,2,Laboratory Technician,Single,24320.0,4,22,0,7,4,1,0,0,4.0,4.0,3.0,1,4,7.297413793103448,No
36,Travel_Frequently,Research & Development,6.0,3,Life Sciences,102,Female,2,Research Scientist,Married,47710.0,4,13,1,16,2,13,1,12,1.0,4.0,3.0,3,3,7.092436974789916,No
57,Travel_Rarely,Research & Development,21.0,4,Life Sciences,103,Male,5,Research Scientist,Married,191610.0,2,18,0,15,2,3,1,2,4.0,3.0,3.0,1,3,6.314893617021276,No
40,Travel_Rarely,Research & Development,8.0,3,Other,104,Male,2,Sales Executive,Married,50870.0,3,14,1,10,3,7,1,7,4.0,3.0,3.0,3,3,8.111587982832617,No
21,Non-Travel,Research & Development,1.0,5,Life Sciences,105,Female,2,Manager,Single,28630.0,1,14,0,3,2,3,2,2,1.0,4.0,2.0,1,3,7.982532751091703,No
33,Travel_Rarely,Human Resources,28.0,2,Human Resources,106,Female,5,Manager,Single,55610.0,1,21,1,1,3,1,0,0,4.0,3.0,3.0,1,4,10.497835497835498,Yes
37,Travel_Rarely,Research & Development,5.0,3,Life Sciences,107,Male,4,Research Scientist,Married,21440.0,6,19,0,17,3,5,0,3,3.0,1.0,3.0,4,3,8.047619047619047,No
46,Non-Travel,Sales,2.0,4,Marketing,108,Female,2,Laboratory Technician,Married,30650.0,2,11,0,7,3,1,0,0,3.0,3.0,4.0,3,3,6.100877192982456,No
41,Travel_Frequently,Research & Development,16.0,1,Medical,109,Female,1,Research Scientist,Single,28100.0,1,11,0,8,3,8,7,7,1.0,2.0,3.0,4,3,7.579399141630901,Yes
50,Travel_Rarely,Research & Development,9.0,3,Medical,110,Female,3,Laboratory Technician,Single,98880.0,6,15,0,20,2,4,1,3,4.0,4.0,3.0,3,3,6.895652173913043,No
40,Travel_Rarely,Research & Development,8.0,3,Medical,111,Female,1,Healthcare Representative,Married,86280.0,2,20,0,8,2,6,1,0,3.0,3.0,3.0,2,4,9.311965811965813,Yes
31,Travel_Rarely,Research & Development,1.0,3,Life Sciences,112,Male,4,Human Resources,Single,28670.0,0,24,0,3,5,2,2,2,3.0,2.0,3.0,3,4,10.776422764227643,No
21,Travel_Rarely,Human Resources,10.0,2,Human Resources,113,Male,1,Laboratory Technician,Single,53730.0,1,12,1,1,2,1,0,0,3.0,2.0,3.0,3,3,5.991304347826087,Yes
29,Travel_Rarely,Research & Development,1.0,3,Life Sciences,114,Female,2,Research Director,Single,66670.0,9,12,1,6,6,3,1,2,4.0,4.0,3.0,4,3,7.816326530612245,No
35,Travel_Rarely,Research & Development,29.0,3,Life Sciences,115,Female,3,Sales Executive,Single,50030.0,9,15,0,10,2,1,0,0,3.0,2.0,3.0,3,3,7.716101694915254,No
27,Travel_Rarely,Sales,2.0,3,Life Sciences,116,Male,1,Sales Executive,Divorced,23670.0,1,12,1,5,2,5,0,4,4.0,2.0,3.0,3,3,6.170940170940171,No
28,Travel_Rarely,Research & Development,2.0,2,Medical,117,Male,3,Manager,Single,28580.0,1,12,0,7,2,7,0,7,2.0,4.0,3.0,2,3,7.142241379310345,No
49,Travel_Rarely,Sales,2.0,3,Technical Degree,118,Male,2,Manufacturing Director,Single,52040.0,8,14,1,26,3,5,0,0,2.0,3.0,3.0,3,3,7.8125,No
51,Travel_Rarely,Research & Development,1.0,2,Life Sciences,119,Male,1,Sales Executive,Married,41050.0,4,22,1,18,2,7,0,7,3.0,4.0,2.0,3,4,7.614035087719298,No
36,Travel_Rarely,Sales,15.0,2,Life Sciences,120,Male,1,Sales Executive,Married,96790.0,4,12,0,6,1,2,2,2,4.0,3.0,3.0,3,3,6.017094017094017,No
34,Non-Travel,Research & Development,7.0,3,Life Sciences,121,Male,1,Sales Representative,Single,56170.0,8,25,1,9,3,5,0,4,1.0,4.0,2.0,3,4,9.13191489361702,Yes
55,Travel_Rarely,Sales,26.0,3,Marketing,122,Male,1,Laboratory Technician,Single,104480.0,2,13,0,30,3,5,1,2,3.0,4.0,3.0,3,3,8.65677966101695,No
24,Travel_Rarely,Research & Development,1.0,3,Life Sciences,123,Female,5,Manager,Divorced,28970.0,1,18,3,5,4,5,0,3,4.0,3.0,4.0,3,3,10.034782608695652,No
30,Travel_Rarely,Research & Development,3.0,3,Life Sciences,124,Female,2,Manager,Married,59680.0,1,13,0,1,3,1,0,0,3.0,2.0,3.0,3,3,6.926406926406926,No
26,Travel_Frequently,Sales,14.0,3,Life Sciences,125,Male,2,Manager,Single,75100.0,0,18,3,7,3,6,0,4,3.0,4.0,3.0,3,3,6.983333333333333,Yes
22,Travel_Rarely,Research & Development,16.0,5,Other,126,Male,1,Research Scientist,Married,29910.0,1,19,2,2,3,2,1,2,1.0,2.0,3.0,2,3,6.298701298701299,No
36,Travel_Rarely,Research & Development,1.0,3,Medical,127,Female,5,Healthcare Representative,Married,196360.0,1,12,1,10,3,10,9,0,2.0,3.0,3.0,3,3,6.385593220338983,No
30,Travel_Frequently,Sales,3.0,2,Marketing,128,Male,3,Research Scientist,Single,11290.0,9,19,0,3,2,1,0,0,3.0,4.0,3.0,2,3,8.241666666666667,Yes
37,Travel_Rarely,Research & Development,10.0,1,Technical Degree,129,Male,1,Sales Executive,Divorced,133410.0,1,14,1,18,3,18,12,17,4.0,1.0,2.0,3,3,6.4875,No
40,Travel_Rarely,Research & Development,6.0,2,Medical,130,Male,3,Research Scientist,Divorced,43320.0,7,14,2,8,3,5,1,3,4.0,2.0,3.0,2,3,6.647826086956521,No
42,Travel_Rarely,Research & Development,2.0,3,Medical,131,Female,4,Manager,Divorced,110310.0,3,12,1,8,2,5,1,2,2.0,1.0,3.0,2,3,7.468085106382978,No
37,Travel_Rarely,Sales,9.0,1,Marketing,132,Male,3,Sales Executive,Single,44400.0,2,11,1,18,3,1,0,1,3.0,2.0,2.0,2,3,9.918367346938776,No
43,Travel_Rarely,Sales,10.0,2,Life Sciences,133,Female,1,Sales Executive,Divorced,46170.0,1,11,0,25,2,25,3,9,1.0,2.0,3.0,3,3,7.463829787234043,No
40,Travel_Rarely,Sales,6.0,2,Life Sciences,134,Female,1,Laboratory Technician,Married,26470.0,6,13,0,20,2,1,0,0,2.0,3.0,3.0,2,3,7.504201680672269,No
54,Travel_Rarely,Human Resources,9.0,3,Life Sciences,135,Female,2,Manufacturing Director,Married,63230.0,4,23,1,24,2,4,1,2,1.0,1.0,2.0,2,4,5.995594713656388,No
34,Non-Travel,Research & Development,28.0,3,Medical,136,Male,1,Laboratory Technician,Married,56770.0,9,20,1,6,3,3,1,2,3.0,3.0,3.0,3,4,6.829059829059829,No
31,Travel_Rarely,Research & Development,10.0,4,Life Sciences,137,Male,3,Sales Executive,Married,21870.0,1,15,1,13,2,13,3,12,2.0,1.0,1.0,2,3,6.146551724137931,No
43,Travel_Frequently,Sales,14.0,3,Life Sciences,138,Female,1,Manufacturing Director,Married,37480.0,7,14,2,10,3,3,1,2,4.0,4.0,3.0,2,3,7.629955947136564,No
43,Travel_Rarely,Sales,27.0,4,Life Sciences,139,Male,2,Sales Representative,Divorced,39770.0,4,18,1,8,3,5,0,2,3.0,3.0,3.0,3,3,8.899159663865547,No
25,Travel_Rarely,Human Resources,7.0,2,Human Resources,140,Male,1,Manufacturing Director,Single,86330.0,1,19,1,5,2,5,1,3,2.0,4.0,3.0,4,3,10.857758620689657,No
37,Non-Travel,Research & Development,1.0,3,Medical,141,Male,3,Laboratory Technician,Married,20080.0,3,22,0,15,5,13,10,7,2.0,3.0,3.0,2,4,10.660944206008583,No
31,Travel_Rarely,Research & Development,24.0,1,Medical,142,Male,3,Laboratory Technician,Married,44400.0,1,13,1,4,2,4,3,2,4.0,1.0,3.0,3,3,7.012931034482759,No
39,Travel_Frequently,Research & Development,26.0,4,Technical Degree,143,Female,1,Sales Executive,Divorced,30670.0,1,20,1,21,5,21,1,6,2.0,3.0,3.0,1,4,9.020408163265309,No
56,Travel_Frequently,Research & Development,20.0,4,Life Sciences,144,Female,3,Sales Executive,Married,53210.0,9,14,0,36,1,7,7,7,3.0,1.0,2.0,3,3,7.355648535564853,No
30,Travel_Rarely,Sales,5.0,4,Medical,145,Female,2,Manufacturing Director,Single,54100.0,0,17,1,6,2,5,4,4,2.0,3.0,3.0,3,3,7.616326530612245,No
41,Travel_Rarely,Research & Development,7.0,3,Technical Degree,146,Female,3,Research Scientist,Married,27820.0,1,14,0,10,2,10,0,7,2.0,1.0,3.0,2,3,6.576763485477178,No
